resno,state,pc,psu_id,age,women,voted,list_activities,vio_mobilize,vio_demobilize,treatment,control_treat,control_mob,control_demob,contested,bjp_strong,tmc_strong,winner_pc,runnerup_pc,winner_vote,runnerup_vote,margin_pc
1,WEST BENGAL,BIRBHUM,1,67,0,1,4,0,0,0,0,0,0,1,0,0,TMC,BJP,45.13,38.99,6.14
2,WEST BENGAL,BIRBHUM,1,30,1,1,2,0,0,0,0,0,0,1,0,0,TMC,BJP,45.13,38.99,6.14
3,WEST BENGAL,BIRBHUM,1,60,0,1,3,0,0,1,1,1,,1,0,0,TMC,BJP,45.13,38.99,6.14
4,WEST BENGAL,BIRBHUM,1,36,0,1,3,0,0,0,0,0,0,1,0,0,TMC,BJP,45.13,38.99,6.14
5,WEST BENGAL,BIRBHUM,1,48,0,1,4,0,0,2,1,,1,1,0,0,TMC,BJP,45.13,38.99,6.14
6,WEST BENGAL,BIRBHUM,1,35,1,1,4,0,0,2,1,,1,1,0,0,TMC,BJP,45.13,38.99,6.14
7,WEST BENGAL,BIRBHUM,1,32,0,1,4,0,0,1,1,1,,1,0,0,TMC,BJP,45.13,38.99,6.14
8,WEST BENGAL,BIRBHUM,1,65,1,1,4,0,0,2,1,,1,1,0,0,TMC,BJP,45.13,38.99,6.14
9,WEST BENGAL,BIRBHUM,1,40,1,1,2,0,0,1,1,1,,1,0,0,TMC,BJP,45.13,38.99,6.14
10,WEST BENGAL,BIRBHUM,1,40,1,1,3,0,0,0,0,0,0,1,0,0,TMC,BJP,45.13,38.99,6.14
11,WEST BENGAL,BIRBHUM,1,25,1,0,2,0,0,1,1,1,,1,0,0,TMC,BJP,45.13,38.99,6.14
12,WEST BENGAL,BIRBHUM,1,37,0,1,,0,0,2,1,,1,1,0,0,TMC,BJP,45.13,38.99,6.14
13,WEST BENGAL,BIRBHUM,2,19,1,1,2,0,0,2,1,,1,1,0,0,TMC,BJP,45.13,38.99,6.14
14,WEST BENGAL,BIRBHUM,2,19,0,1,3,0,0,1,1,1,,1,0,0,TMC,BJP,45.13,38.99,6.14
15,WEST BENGAL,BIRBHUM,2,40,0,1,3,0,0,0,0,0,0,1,0,0,TMC,BJP,45.13,38.99,6.14
16,WEST BENGAL,BIRBHUM,2,24,0,1,4,0,0,2,1,,1,1,0,0,TMC,BJP,45.13,38.99,6.14
17,WEST BENGAL,BIRBHUM,2,50,1,0,2,0,0,0,0,0,0,1,0,0,TMC,BJP,45.13,38.99,6.14
18,WEST BENGAL,BIRBHUM,2,20,1,1,3,0,0,0,0,0,0,1,0,0,TMC,BJP,45.13,38.99,6.14
19,WEST BENGAL,BIRBHUM,2,37,1,1,4,0,0,1,1,1,,1,0,0,TMC,BJP,45.13,38.99,6.14
20,WEST BENGAL,BIRBHUM,2,68,1,1,5,0,0,2,1,,1,1,0,0,TMC,BJP,45.13,38.99,6.14
21,WEST BENGAL,BIRBHUM,2,27,1,1,3,0,0,1,1,1,,1,0,0,TMC,BJP,45.13,38.99,6.14
22,WEST BENGAL,BIRBHUM,2,31,0,1,3,0,0,0,0,0,0,1,0,0,TMC,BJP,45.13,38.99,6.14
23,WEST BENGAL,BIRBHUM,2,27,0,1,2,0,0,2,1,,1,1,0,0,TMC,BJP,45.13,38.99,6.14
24,WEST BENGAL,BIRBHUM,2,18,0,1,4,0,0,1,1,1,,1,0,0,TMC,BJP,45.13,38.99,6.14
25,WEST BENGAL,BOLPUR (SC),3,24,1,1,,1,1,0,0,0,0,0,0,1,TMC,BJP,47.85,40.57,7.28
26,WEST BENGAL,BOLPUR (SC),3,45,0,1,2,0,,1,1,1,,0,0,1,TMC,BJP,47.85,40.57,7.28
27,WEST BENGAL,BOLPUR (SC),3,48,0,1,4,0,0,2,1,,1,0,0,1,TMC,BJP,47.85,40.57,7.28
28,WEST BENGAL,BOLPUR (SC),3,18,0,1,,0,0,0,0,0,0,0,0,1,TMC,BJP,47.85,40.57,7.28
29,WEST BENGAL,BOLPUR (SC),3,53,0,0,3,0,,1,1,1,,0,0,1,TMC,BJP,47.85,40.57,7.28
30,WEST BENGAL,BOLPUR (SC),3,32,1,0,3,,,0,0,0,0,0,0,1,TMC,BJP,47.85,40.57,7.28
31,WEST BENGAL,BOLPUR (SC),3,86,1,1,2,0,1,2,1,,1,0,0,1,TMC,BJP,47.85,40.57,7.28
32,WEST BENGAL,BOLPUR (SC),3,48,1,0,,1,1,1,1,1,,0,0,1,TMC,BJP,47.85,40.57,7.28
33,WEST BENGAL,BOLPUR (SC),3,36,1,,3,0,0,2,1,,1,0,0,1,TMC,BJP,47.85,40.57,7.28
